id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6504741,"USC, Central LA Room with Queen-Bed",2324191,Elisabeth,,Adams-Normandie,34.02991190701321,-118.29956042253426,Private room,69,1,6,2016-03-30,0.60,21,343
7973248,Private Room near Downtown & USC,42074164,Debbie,,Adams-Normandie,34.03081113451371,-118.29762345415506,Private room,52,1,0,,,2,338
9063047,Private Room near Downtown,42074164,Debbie,,Adams-Normandie,34.029449991879865,-118.2992236567508,Private room,62,1,1,2016-04-06,1,2,266
9174553,Large Private Cinema Style Room,23480749,Javier & Miguel,,Adams-Normandie,34.03552482105039,-118.2977658813877,Private room,53,3,5,2016-04-06,0.85,2,360
12136080,Comfortable and Beautiful Home,24905603,Kelley,,Adams-Normandie,34.0266321605308,-118.30112495941844,Private room,80,1,0,,,2,259
9303822,Apartment near USC and Downtown LA,46817990,Lyra,,Adams-Normandie,34.02820502662777,-118.2917787820269,Private room,32,7,1,2015-11-19,0.18,1,15
11203634,The right solution for short stays,41504364,Allen,,Adams-Normandie,34.02618058001038,-118.29282159915648,Entire home/apt,79,1,13,2016-04-26,5.42,1,305
9167855,Quarto compartilhado Los Angeles,47714615,Bruna,,Adams-Normandie,34.028396830334216,-118.29617428953385,Shared room,70,1,0,,,1,0
4839375,Private Room in Beautiful 2BR House,24905603,Kelley,,Adams-Normandie,34.027018900774785,-118.30247234678738,Private room,80,1,15,2016-04-25,1.49,2,319
1557529,"USC, Small Room in Central LA",2324191,Elisabeth,,Adams-Normandie,34.032654761419536,-118.29771124598855,Private room,50,1,17,2015-12-17,0.72,21,247
6153123,Private Suite,2324191,Elisabeth,,Adams-Normandie,34.03058705455378,-118.29954844902255,Private room,81,1,5,2015-08-22,0.49,21,323
7185048,Spacious living room near downtown,23757383,Cathie,,Adams-Normandie,34.03248790077849,-118.30219089410826,Shared room,29,2,28,2016-04-29,3.36,1,44
3052357,Modern 2BR Apt near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.032293860239236,-118.3041339229595,Entire home/apt,115,1,67,2016-04-17,3.07,3,240
8974737,Master Suite treehouse in art loft.,4072379,Danielle,,Adams-Normandie,34.03346958902854,-118.30116598743436,Private room,85,1,2,2015-10-28,0.31,2,364
11622888,USC front apartment - Downtown LA,12217297,David,,Adams-Normandie,34.02626742349453,-118.29473007956004,Private room,57,2,0,,,3,362
6046004,Master Suite (Private Bathroom),19200935,Guilherme,,Adams-Normandie,34.029301689822404,-118.29911131817782,Private room,72,1,7,2016-04-10,1.09,1,264
7898757,Studio with full bathroom,41646908,Ian,,Adams-Normandie,34.03141859276508,-118.29901648963383,Private room,30,1,3,2015-12-26,0.64,1,0
8617690,$Private Bedroom(s) dtwn LA | USC$,16467143,Andrés,,Adams-Normandie,34.02673558068629,-118.29622832876998,Private room,69,1,26,2016-04-13,3.66,2,162
1471992,Los Angeles Room for Rent,2324191,Elisabeth,,Adams-Normandie,34.0323560664128,-118.29984890334451,Private room,64,1,18,2015-11-22,0.56,21,345
8924216,Small Private Room in L.A.,46666154,Liz,,Adams-Normandie,34.030179764408764,-118.29832799919575,Private room,54,1,6,2016-03-25,1.17,3,345
7770889,Beautiful 2500 sqft storefront loft,13197064,Daniel,,Adams-Normandie,34.03347686887015,-118.30115043078031,Entire home/apt,275,1,0,,,1,365
8152058,Charming 3bd Victorian loft dtwn LA,16467143,Andrés,,Adams-Normandie,34.02723983150665,-118.29722270791648,Entire home/apt,220,1,11,2016-04-10,2.01,2,173
5393269,Experience Rastaman Vibrations LA,21526457,Richard,,Adams-Normandie,34.02642897383292,-118.30338642117529,Private room,50,1,1,2015-03-05,0.07,1,0
5851860,URBAN Oasis by DTLA/USC. RM 1,1545056,L,,Adams-Normandie,34.0284500454379,-118.29912489275922,Private room,55,2,13,2016-04-15,2.50,2,83
11553261,Central LA,60290164,Devon,,Adams-Normandie,34.02574793140166,-118.29304358300327,Entire home/apt,74,3,0,,,1,258
8009373,Creative Art/Meeting Space,42071125,Daniel,,Adams-Normandie,34.033144069536384,-118.30130820005249,Entire home/apt,280,1,0,,,1,365
5319351,USC studio - Downtown Los Angeles,12217297,David,,Adams-Normandie,34.026153068603655,-118.29420174568293,Entire home/apt,105,1,4,2015-04-17,0.29,3,365
9645396,URBAN Oasis close to DTLA/USC. RM 2,1545056,L,,Adams-Normandie,34.02959907748224,-118.30179365739833,Private room,55,2,9,2016-04-19,2.27,2,87
8989426,the garden room under the sky,4072379,Danielle,,Adams-Normandie,34.033016697624056,-118.30285840471815,Private room,68,1,3,2015-11-17,0.47,2,365
12190450,Near downtown LA,65522382,Diana,,Adams-Normandie,34.034893057657484,-118.29153782107905,Private room,39,1,0,,,1,32
9048768,New Modern Studio Near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03400827255426,-118.30533888986342,Entire home/apt,65,1,7,2016-02-29,1.25,3,238
2560403,New Modern Studio near Downtown/USC,13108795,Linda And Gil,,Adams-Normandie,34.03391015384202,-118.30439981640149,Entire home/apt,60,1,25,2016-02-20,0.97,3,237
