id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4917894,Private suite near it all- Room #1,3029738,Phil,,Sullivan's Gulch,45.53208834358765,-122.64674961230965,Private room,100,1,59,2015-12-14,5.09,5,354
3635579,Spacious Room & Private Bath,274455,Eugenia,,Sullivan's Gulch,45.53277483588532,-122.64843402190499,Private room,65,2,72,2015-12-27,4.08,1,344
5133946,Private suites near it all- Room #3,3029738,Phil,,Sullivan's Gulch,45.533866337340015,-122.64775700369785,Private room,100,1,50,2015-12-18,4.64,5,358
6702541,Cute home in the heart of Portland,16511459,Jessica,,Sullivan's Gulch,45.533891893539796,-122.63996702937379,Entire home/apt,160,1,15,2015-09-28,2.32,1,328
9364108,Seanshi's hideaway,17553340,Annie,,Sullivan's Gulch,45.53458019844028,-122.64624613597995,Shared room,99,1,0,,,1,365
689130,Exquisite private room w/sauna,3519465,Brad & Carolina,,Sullivan's Gulch,45.53483821939014,-122.64900021081237,Private room,80,1,52,2015-12-04,1.30,2,362
6247647,Spacious Irvington Condo,32440440,Justine,,Sullivan's Gulch,45.534786903287795,-122.64245525864499,Entire home/apt,300,2,17,2015-10-19,2.21,1,365
6122048,LOCATION NE : Queen bunks & day bed,17261537,Tiger & Peacock,,Sullivan's Gulch,45.53443747562978,-122.64728705073814,Private room,45,1,34,2015-11-22,4.43,12,359
9260956,NE Getaway for the Creative Type,4547203,David,,Sullivan's Gulch,45.53199202153487,-122.63751758894831,Entire home/apt,95,2,0,,,1,60
5794291,Private suites near it all- Room #6,3029738,Phil,,Sullivan's Gulch,45.533373135355866,-122.64823571872927,Private room,100,1,26,2015-12-17,4.33,5,348
4209765,Oregon  Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.53333303138804,-122.64248066028327,Private room,49,1,68,2015-11-15,4.58,2,364
5134256,Private suites near it all- Room #4,3029738,Phil,,Sullivan's Gulch,45.53327352847426,-122.64687008708758,Private room,70,1,49,2015-12-15,4.61,5,348
2241274,Grant Park 3BR Bungalow ,11446106,Logan,,Sullivan's Gulch,45.53465117702714,-122.63674341595882,Entire home/apt,420,2,15,2015-11-29,0.89,1,138
6122852,"LOCATION NE ""Willamette"" Adjoining",17261537,Tiger & Peacock,,Sullivan's Gulch,45.53419124271865,-122.64797357871561,Private room,40,1,37,2015-12-28,4.87,12,339
6106997,"LOCATION NE! ""Mt Hood"" : King bed",17261537,Tiger & Peacock,,Sullivan's Gulch,45.5344912173247,-122.64688297158196,Private room,35,1,35,2015-12-30,4.57,12,343
4918034,Private suites near it all- Room #2,3029738,Phil,,Sullivan's Gulch,45.53327975880302,-122.64786231653146,Private room,100,1,45,2015-12-14,4.04,5,360
7547444,Near Oregon Convention Center,1770933,Anastasia,,Sullivan's Gulch,45.532235639717626,-122.64542490867335,Private room,45,1,43,2015-12-28,8.27,2,326
2910295,Sullivan's Gulch New 1 BR apartment,14867883,Ann,,Sullivan's Gulch,45.533834911499476,-122.6475915017706,Entire home/apt,95,1,59,2015-11-02,2.99,1,353
3678338,Portland's best kept secret...,1795731,Matt,,Sullivan's Gulch,45.53225256919602,-122.63946491079328,Entire home/apt,85,2,52,2015-11-02,2.97,1,362
3775761,Amazing Craftsman Great Location,19361127,James,,Hollywood,45.533092871181424,-122.61996615740904,Private room,60,1,35,2015-12-11,2.08,1,365
1850556,The Nest,9663989,Laura,,Hollywood,45.53679654660679,-122.62354832516398,Entire home/apt,85,1,177,2015-12-17,7.60,1,320
4811271,Full home in central NE Portland,11306582,Josh,,Hollywood,45.53212972179269,-122.61576947017772,Entire home/apt,250,3,1,2015-09-08,0.26,1,358
3828001,Laurelhurst Room Near Transit,16402413,Jason,,Hollywood,45.53288413838489,-122.6208190028076,Private room,60,2,36,2015-12-14,2.84,1,173
2537363,Elegant private room with bath,12992163,Daniel,,Hillside,45.52742538330827,-122.70640416381929,Private room,95,2,81,2015-12-14,3.83,1,295
5869742,Private Studio Next to Forest Park,30478213,Wildwood,,Hillside,45.52202968022729,-122.72283945217383,Entire home/apt,95,1,50,2015-11-27,7.14,1,286
692488,Classic NW Villa ,3541177,Jerry,,Hillside,45.52752631570706,-122.70685139295804,Entire home/apt,99,2,153,2015-12-10,3.84,1,342
4493049,Mad Court House -  The King's Room,22904946,Zoe And Sibyl,,Sylvan-Highlands,45.5140761089104,-122.73957014551182,Private room,50,2,0,,,3,119
6055815,Sylvan Highlands Homestead Retreat,24453020,Kelly,,Sylvan-Highlands,45.51403407066716,-122.73724821875206,Entire home/apt,220,4,6,2015-11-29,0.95,1,232
